,Team,Year,Round,Goals / 90,Opponent Goals / 90,Goals / 90 Difference,Assists / 90,Opponent Assists / 90,Assists / 90 Difference,Goals Minus Penalty Kicks / 90,Opponent Goals Minus Penalty Kicks / 90,Goals Minus Penalty Kicks / 90 Difference,GDP Per Capita,GDP Growth Rate (%),Population Density,Population Density Growth Rate (%),Life Expectancy,Life Expectancy Growth Rate (%),Birth Rate,Birth Rate Growth Rate (%),Death Rate,Death Rate Growth Rate (%),Unemployment Rate,Opponent GDP Per Capita,GDP Per Capita Difference,Opponent GDP Growth Rate (%),GDP Growth Rate (%) Difference,Opponent Population Density,Population Density Difference,Opponent Population Density Growth Rate (%),Population Density Growth Rate (%) Difference,Opponent Life Expectancy,Life Expectancy Difference,Opponent Life Expectancy Growth Rate (%),Life Expectancy Growth Rate (%) Difference,Opponent Birth Rate,Birth Rate Difference,Opponent Birth Rate Growth Rate (%),Birth Rate Growth Rate (%) Difference,Opponent Death Rate,Death Rate Difference,Opponent Death Rate Growth Rate (%),Death Rate Growth Rate (%) Difference,Opponent Unemployment Rate,Unemployment Rate Difference,Result
0,United States,1930.0,Group stage,2.33,0.0,2.33,,,,2.33,0.0,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
1,Belgium,1930.0,Group stage,0.0,2.33,-2.33,,,,0.0,2.33,-2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
2,France,1930.0,Group stage,1.33,1.33,0.0,,,,1.33,1.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
3,Mexico,1930.0,Group stage,1.33,1.33,0.0,,,,1.0,1.33,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
4,Yugoslavia,1930.0,Group stage,2.33,2.5,-0.1699999999999999,,,,2.33,2.5,-0.1699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
5,Brazil,1930.0,Group stage,2.5,2.33,0.1699999999999999,,,,2.5,2.33,0.1699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
6,Romania,1930.0,Group stage,1.5,0.5,1.0,,,,1.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
7,Peru,1930.0,Group stage,0.5,1.5,-1.0,,,,0.5,1.5,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
8,Argentina,1930.0,Group stage,3.6,1.33,2.27,,,,3.6,1.33,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
9,France,1930.0,Group stage,1.33,3.6,-2.27,,,,1.33,3.6,-2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
10,Chile,1930.0,Group stage,1.33,1.33,0.0,,,,1.33,1.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
11,Mexico,1930.0,Group stage,1.33,1.33,0.0,,,,1.0,1.33,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
12,Yugoslavia,1930.0,Group stage,2.33,0.0,2.33,,,,2.33,0.0,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
13,Bolivia,1930.0,Group stage,0.0,2.33,-2.33,,,,0.0,2.33,-2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
14,United States,1930.0,Group stage,2.33,0.5,1.83,,,,2.33,0.5,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
15,Paraguay,1930.0,Group stage,0.5,2.33,-1.83,,,,0.5,2.33,-1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
16,Uruguay,1930.0,Group stage,3.75,0.5,3.25,,,,3.75,0.5,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
17,Peru,1930.0,Group stage,0.5,3.75,-3.25,,,,0.5,3.75,-3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
18,Chile,1930.0,Group stage,1.33,1.33,0.0,,,,1.33,1.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
19,France,1930.0,Group stage,1.33,1.33,0.0,,,,1.33,1.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
20,Argentina,1930.0,Group stage,3.6,1.33,2.27,,,,3.6,1.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
21,Mexico,1930.0,Group stage,1.33,3.6,-2.27,,,,1.0,3.6,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
22,Brazil,1930.0,Group stage,2.5,0.0,2.5,,,,2.5,0.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
23,Bolivia,1930.0,Group stage,0.0,2.5,-2.5,,,,0.0,2.5,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
24,Paraguay,1930.0,Group stage,0.5,0.0,0.5,,,,0.5,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
25,Belgium,1930.0,Group stage,0.0,0.5,-0.5,,,,0.0,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
26,Uruguay,1930.0,Group stage,3.75,1.5,2.25,,,,3.75,1.5,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
27,Romania,1930.0,Group stage,1.5,3.75,-2.25,,,,1.5,3.75,-2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
28,Argentina,1930.0,Group stage,3.6,1.33,2.27,,,,3.6,1.33,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
29,Chile,1930.0,Group stage,1.33,3.6,-2.27,,,,1.33,3.6,-2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
30,Argentina,1930.0,Semi-finals,3.6,2.33,1.27,,,,3.6,2.33,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
31,United States,1930.0,Semi-finals,2.33,3.6,-1.27,,,,2.33,3.6,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
32,Uruguay,1930.0,Semi-finals,3.75,2.33,1.42,,,,3.75,2.33,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
33,Yugoslavia,1930.0,Semi-finals,2.33,3.75,-1.42,,,,2.33,3.75,-1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
34,Uruguay,1930.0,Final,3.75,3.6,0.1499999999999999,,,,3.75,3.6,0.1499999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
35,Argentina,1930.0,Final,3.6,3.75,-0.1499999999999999,,,,3.6,3.75,-0.1499999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
0,Czechoslovakia,1934.0,Round of 16,2.08,1.0,1.08,,,,2.08,1.0,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
1,Romania,1934.0,Round of 16,1.0,2.08,-1.08,,,,1.0,2.08,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
2,Hungary,1934.0,Round of 16,2.5,2.0,0.5,,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
3,Egypt,1934.0,Round of 16,2.0,2.5,-0.5,,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
4,Austria,1934.0,Round of 16,1.62,1.5,0.1200000000000001,,,,1.62,0.75,0.8700000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
5,France,1934.0,Round of 16,1.5,1.62,-0.1200000000000001,,,,0.75,1.62,-0.8700000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
6,Switzerland,1934.0,Round of 16,2.5,2.0,0.5,,,,2.5,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
7,Netherlands,1934.0,Round of 16,2.0,2.5,-0.5,,,,2.0,2.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
8,Sweden,1934.0,Round of 16,2.0,2.0,0.0,,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
9,Argentina,1934.0,Round of 16,2.0,2.0,0.0,,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
10,Spain,1934.0,Round of 16,1.2,1.0,0.1999999999999999,,,,0.9,1.0,-0.0999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
11,Brazil,1934.0,Round of 16,1.0,1.2,-0.1999999999999999,,,,1.0,0.9,0.0999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
12,Germany,1934.0,Round of 16,2.75,2.0,0.75,,,,2.75,2.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
13,Belgium,1934.0,Round of 16,2.0,2.75,-0.75,,,,2.0,2.75,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
14,Italy,1934.0,Round of 16,2.12,1.0,1.12,,,,2.12,1.0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
15,United States,1934.0,Round of 16,1.0,2.12,-1.12,,,,1.0,2.12,-1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
16,Austria,1934.0,Quarter-finals,1.62,2.5,-0.8799999999999999,,,,1.62,2.0,-0.3799999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
17,Hungary,1934.0,Quarter-finals,2.5,1.62,0.8799999999999999,,,,2.0,1.62,0.3799999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
18,Czechoslovakia,1934.0,Quarter-finals,2.08,2.5,-0.4199999999999999,,,,2.08,2.5,-0.4199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN
19,Switzerland,1934.0,Quarter-finals,2.5,2.08,0.4199999999999999,,,,2.5,2.08,0.4199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOSS
20,Italy,1934.0,Quarter-finals,2.12,1.2,0.9200000000000002,,,,2.12,0.9,1.2200000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRAW
